title,company,location
富邦行銷/富昇保代-電話行銷專員(菁英專案),富邦行銷股份有限公司,台北市中正區
【保障5萬9個月】360小時訓練，彈性工作8小時，每月有晉升加薪機會※,永慶房產集團_永慶房屋仲介股份有限公司,台北市
【保障9個月45萬】300萬培訓新手變專業，最快1年3個月升店長！(2021年度旅遊競賽✈✈),永慶房產集團_永慶房屋仲介股份有限公司,台北市大安區
富邦行銷/富昇保代-電話行銷專員,富邦行銷股份有限公司,台北市中正區
【5萬9個月】360小時訓練，彈性工作8小時，每月有晉升加薪機會》不動產經紀人,永慶房產集團_永慶房屋仲介股份有限公司,台北市大安區
【保障5萬9個月】彈性工作8小時，360小時培訓，挑戰百萬年薪(業界首創彈性工作8小時，顛覆你對房仲業的想像),永慶房產集團_永慶房屋仲介股份有限公司,台北市大安區
【保障5萬9個月】，最快1年3個月升店長！國外旅遊競賽_2021年度旅遊競賽✈✈,永慶房產集團_永慶房屋仲介股份有限公司,台北市大安區
行銷專員CA(正職),富邦人壽保險股份有限公司_富德通訊處(陳嘉陽)(核准文號110A01號),台北市中山區
國貿業務行政助理,聚得實業有限公司,台北市大安區
保險經紀人業務員,錠嵂保險經紀人股份有限公司_北三營業處(黎䈄菲經理),台北市中山區
診所助理,溫崇凱中醫診所,台北市中山區
網路⾏銷推廣專員,香港商娜美醬有限公司台灣辦事處,台北市內湖區
業務代表「承攬性質、非勞動契約」,南山人壽保險股份有限公司_元利通訊處(羅采禎經理),台北市士林區
助理工程師,科建聯合工程顧問有限公司,台北市內湖區
外商業務助理（海外培訓機會）,新加坡商星沃恪股份有限公司台灣分公司,台北市信義區
行銷外商業務 (無經驗可),新加坡商星沃恪股份有限公司台灣分公司,台北市信義區
文字客服專員,雲迹科技有限公司,台北市內湖區
誠徵特助 待遇特優,鑫潮生物科技股份有限公司,台北市信義區
業務儲備幹部(認證編號：20210204AH4002),國泰人壽保險股份有限公司_展業信義通訊處(王逸雅),台北市大安區
行銷業務助理 (專人培訓、 無經驗可),新加坡商星沃恪股份有限公司台灣分公司,台北市信義區
高階主管司機,四星國際股份有限公司,台北市大安區
業務助理,迪特律柴油機械股份有限公司,台北市內湖區
專案行銷企劃,皇冠文化出版有限公司,台北市松山區
生活接待達人【固定班次.週休二日】Customer Reception,沐邑企業有限公司,台北市中山區
日文助理,日商_宅都有限公司,台北市中山區
行銷專員CA(正職),富邦人壽保險股份有限公司_富習通訊處(陳俊合)(核准文號FB109A01號),台北市大安區
活動企劃 / 行銷企劃,唯品風尚集團_唯品風尚股份有限公司,台北市內湖區
